АЗС_CODE,PRODNAME,TANKNUM,ДАТА,HOUR,КОЛИЧЕСТВО
Z313,АИ-98-К4/К5,5.0,2022-01-01,2,47.83
Z313,АИ-98-К4/К5,5.0,2022-01-01,3,91.31
Z313,АИ-98-К4/К5,5.0,2022-01-01,5,49.43
Z313,АИ-98-К4/К5,5.0,2022-01-01,12,30.0
Z313,АИ-98-К4/К5,5.0,2022-01-01,13,115.86
Z313,АИ-98-К4/К5,5.0,2022-01-01,14,171.35
Z313,АИ-98-К4/К5,5.0,2022-01-01,15,123.15
Z313,АИ-98-К4/К5,5.0,2022-01-01,18,93.55
Z313,АИ-98-К4/К5,5.0,2022-01-01,19,68.34
Z313,АИ-98-К4/К5,5.0,2022-01-01,20,6.0
Z313,АИ-98-К4/К5,5.0,2022-01-01,23,10.0
Z313,АИ-98-К4/К5,5.0,2022-01-01,24,114.63
Z313,АИ-95-К4/К5,1.0,2022-01-02,1,186.7
Z313,АИ-95-К4/К5,1.0,2022-01-02,2,197.51
Z313,АИ-95-К4/К5,1.0,2022-01-02,3,186.87
Z313,АИ-95-К4/К5,1.0,2022-01-02,4,13.15
Z313,АИ-95-К4/К5,1.0,2022-01-02,5,133.0
Z313,АИ-95-К4/К5,1.0,2022-01-02,6,64.19
Z313,АИ-95-К4/К5,1.0,2022-01-02,8,44.95
Z313,АИ-95-К4/К5,1.0,2022-01-02,9,130.87
Z313,АИ-95-К4/К5,1.0,2022-01-02,10,143.63
Z313,АИ-95-К4/К5,1.0,2022-01-02,11,480.8
Z313,АИ-95-К4/К5,1.0,2022-01-02,12,311.25
Z313,АИ-95-К4/К5,1.0,2022-01-02,13,680.69
Z313,АИ-95-К4/К5,1.0,2022-01-02,14,1143.38
Z313,АИ-95-К4/К5,1.0,2022-01-02,15,813.03
Z313,АИ-95-К4/К5,1.0,2022-01-02,16,951.81
Z313,АИ-95-К4/К5,1.0,2022-01-02,17,797.48
Z313,АИ-95-К4/К5,1.0,2022-01-02,18,430.03
Z313,АИ-95-К4/К5,1.0,2022-01-02,19,480.81
Z313,АИ-95-К4/К5,1.0,2022-01-02,20,521.55
Z313,АИ-95-К4/К5,1.0,2022-01-02,21,625.72
Z313,АИ-95-К4/К5,1.0,2022-01-02,22,701.37
Z313,АИ-95-К4/К5,1.0,2022-01-02,23,383.69
Z313,АИ-95-К4/К5,1.0,2022-01-02,24,310.11
Z313,АИ-92-К4/К5,2.0,2022-01-02,1,1065.37
Z313,АИ-92-К4/К5,2.0,2022-01-02,2,400.12
Z313,АИ-92-К4/К5,2.0,2022-01-02,3,387.31
Z313,АИ-92-К4/К5,2.0,2022-01-02,4,55.56
Z313,АИ-92-К4/К5,2.0,2022-01-02,16,108.89
Z313,АИ-92-К4/К5,2.0,2022-01-02,17,1467.04
Z313,АИ-92-К4/К5,2.0,2022-01-02,18,1570.21
Z313,АИ-92-К4/К5,2.0,2022-01-02,19,1531.41
Z313,АИ-92-К4/К5,2.0,2022-01-02,20,1507.09
Z313,АИ-92-К4/К5,2.0,2022-01-02,21,1064.73
Z313,АИ-92-К4/К5,2.0,2022-01-02,22,1231.03
Z313,АИ-92-К4/К5,2.0,2022-01-02,23,1453.76
Z313,АИ-92-К4/К5,2.0,2022-01-02,24,627.18
Z313,ДТ-К4/К5,3.0,2022-01-02,2,34.79
Z313,ДТ-К4/К5,3.0,2022-01-02,8,130.0
Z313,ДТ-К4/К5,3.0,2022-01-02,9,300.0
Z313,ДТ-К4/К5,3.0,2022-01-02,13,38.0
Z313,ДТ-К4/К5,3.0,2022-01-02,15,43.48
Z313,ДТ-К4/К5,3.0,2022-01-02,16,77.77
Z313,ДТ-К4/К5,3.0,2022-01-02,17,203.01
Z313,ДТ-К4/К5,3.0,2022-01-02,19,67.39
Z313,ДТ-К4/К5,3.0,2022-01-02,20,113.05
Z313,ДТ-К4/К5,3.0,2022-01-02,21,150.0
Z313,ДТ-К4/К5,3.0,2022-01-02,22,43.48
Z313,ДТ-К4/К5,3.0,2022-01-02,24,93.48
Z313,АИ-92-К4/К5,4.0,2022-01-02,1,33.34
Z313,АИ-92-К4/К5,4.0,2022-01-02,2,69.17
Z313,АИ-92-К4/К5,4.0,2022-01-02,3,19.45
Z313,АИ-92-К4/К5,4.0,2022-01-02,4,105.13
Z313,АИ-92-К4/К5,4.0,2022-01-02,5,85.4
Z313,АИ-92-К4/К5,4.0,2022-01-02,6,138.92
Z313,АИ-92-К4/К5,4.0,2022-01-02,7,189.45
Z313,АИ-92-К4/К5,4.0,2022-01-02,8,217.05
Z313,АИ-92-К4/К5,4.0,2022-01-02,9,558.32
Z313,АИ-92-К4/К5,4.0,2022-01-02,10,298.81
Z313,АИ-92-К4/К5,4.0,2022-01-02,11,899.83
Z313,АИ-92-К4/К5,4.0,2022-01-02,12,1210.36
Z313,АИ-92-К4/К5,4.0,2022-01-02,13,1620.64
Z313,АИ-92-К4/К5,4.0,2022-01-02,14,1625.96
Z313,АИ-92-К4/К5,4.0,2022-01-02,15,1792.41
Z313,АИ-92-К4/К5,4.0,2022-01-02,16,1599.74
Z313,АИ-92-К4/К5,4.0,2022-01-02,17,16.67
Z313,АИ-92-К4/К5,4.0,2022-01-02,19,66.68
Z313,АИ-98-К4/К5,5.0,2022-01-02,1,14.96
Z313,АИ-98-К4/К5,5.0,2022-01-02,2,61.75
Z313,АИ-98-К4/К5,5.0,2022-01-02,3,79.88
Z313,АИ-98-К4/К5,5.0,2022-01-02,10,43.09
Z313,АИ-98-К4/К5,5.0,2022-01-02,15,51.84
Z313,АИ-98-К4/К5,5.0,2022-01-02,18,60.11
Z313,АИ-98-К4/К5,5.0,2022-01-02,20,59.98
Z313,АИ-98-К4/К5,5.0,2022-01-02,22,78.07
Z313,АИ-98-К4/К5,5.0,2022-01-02,23,17.39
Z313,АИ-98-К4/К5,5.0,2022-01-02,24,30.03
Z313,АИ-95-К4/К5,1.0,2022-01-03,1,409.78
Z313,АИ-95-К4/К5,1.0,2022-01-03,2,164.61
Z313,АИ-95-К4/К5,1.0,2022-01-03,3,333.21
Z313,АИ-95-К4/К5,1.0,2022-01-03,4,87.68
Z313,АИ-95-К4/К5,1.0,2022-01-03,5,19.25
Z313,АИ-95-К4/К5,1.0,2022-01-03,6,31.46
Z313,АИ-95-К4/К5,1.0,2022-01-03,7,36.23
Z313,АИ-95-К4/К5,1.0,2022-01-03,8,46.96
Z313,АИ-95-К4/К5,1.0,2022-01-03,9,306.64
Z313,АИ-95-К4/К5,1.0,2022-01-03,10,58.66
Z313,АИ-95-К4/К5,1.0,2022-01-03,15,750.93
Z313,АИ-95-К4/К5,1.0,2022-01-03,16,577.77
Z313,АИ-95-К4/К5,1.0,2022-01-03,17,527.55
Z313,АИ-95-К4/К5,1.0,2022-01-03,18,434.79
Z313,АИ-95-К4/К5,1.0,2022-01-03,19,634.9
Z313,АИ-95-К4/К5,1.0,2022-01-03,20,439.66
Z313,АИ-95-К4/К5,1.0,2022-01-03,21,492.67
Z313,АИ-95-К4/К5,1.0,2022-01-03,22,495.43
Z313,АИ-95-К4/К5,1.0,2022-01-03,23,355.06
Z313,АИ-95-К4/К5,1.0,2022-01-03,24,302.2
Z313,АИ-92-К4/К5,2.0,2022-01-03,1,914.54
Z313,АИ-92-К4/К5,2.0,2022-01-03,2,632.99
Z313,АИ-92-К4/К5,2.0,2022-01-03,3,352.72
Z313,АИ-92-К4/К5,2.0,2022-01-03,4,204.78
Z313,АИ-92-К4/К5,2.0,2022-01-03,5,224.23
Z313,АИ-92-К4/К5,2.0,2022-01-03,6,218.82
Z313,АИ-92-К4/К5,2.0,2022-01-03,7,269.71
Z313,АИ-92-К4/К5,2.0,2022-01-03,8,218.76
Z313,АИ-92-К4/К5,2.0,2022-01-03,9,621.36
Z313,АИ-92-К4/К5,2.0,2022-01-03,10,792.47
Z313,АИ-92-К4/К5,2.0,2022-01-03,11,1567.81
Z313,АИ-92-К4/К5,2.0,2022-01-03,12,1498.06
Z313,АИ-92-К4/К5,2.0,2022-01-03,13,1479.8
Z313,АИ-92-К4/К5,2.0,2022-01-03,14,1853.47
Z313,АИ-92-К4/К5,2.0,2022-01-03,15,1191.53
Z313,АИ-92-К4/К5,2.0,2022-01-03,16,685.75
Z313,АИ-92-К4/К5,2.0,2022-01-03,17,8.34
Z313,АИ-92-К4/К5,2.0,2022-01-03,18,245.25
Z313,АИ-92-К4/К5,2.0,2022-01-03,19,932.96
Z313,АИ-92-К4/К5,2.0,2022-01-03,20,782.31
Z313,АИ-92-К4/К5,2.0,2022-01-03,21,1010.48
Z313,АИ-92-К4/К5,2.0,2022-01-03,22,672.76
Z313,АИ-92-К4/К5,2.0,2022-01-03,23,951.13
Z313,АИ-92-К4/К5,2.0,2022-01-03,24,505.0
Z313,ДТ-К4/К5,3.0,2022-01-03,1,40.0
Z313,ДТ-К4/К5,3.0,2022-01-03,3,43.48
Z313,ДТ-К4/К5,3.0,2022-01-03,5,180.0
Z313,ДТ-К4/К5,3.0,2022-01-03,9,315.22
Z313,ДТ-К4/К5,3.0,2022-01-03,10,140.91
Z313,ДТ-К4/К5,3.0,2022-01-03,11,40.0
Z313,ДТ-К4/К5,3.0,2022-01-03,12,206.96
Z313,ДТ-К4/К5,3.0,2022-01-03,13,50.0
Z313,ДТ-К4/К5,3.0,2022-01-03,14,180.0
Z313,ДТ-К4/К5,3.0,2022-01-03,15,108.7
Z313,ДТ-К4/К5,3.0,2022-01-03,17,654.74
Z313,ДТ-К4/К5,3.0,2022-01-03,18,100.0
Z313,ДТ-К4/К5,3.0,2022-01-03,19,30.0
Z313,ДТ-К4/К5,3.0,2022-01-03,20,32.09
Z313,ДТ-К4/К5,3.0,2022-01-03,21,15.44
Z313,ДТ-К4/К5,3.0,2022-01-03,22,52.48
Z313,ДТ-К4/К5,3.0,2022-01-03,24,400.0
Z313,АИ-92-К4/К5,4.0,2022-01-03,15,262.23
Z313,АИ-92-К4/К5,4.0,2022-01-03,16,991.89
Z313,АИ-92-К4/К5,4.0,2022-01-03,17,1445.09
Z313,АИ-92-К4/К5,4.0,2022-01-03,18,1213.44
Z313,АИ-92-К4/К5,4.0,2022-01-03,19,718.61
Z313,АИ-92-К4/К5,4.0,2022-01-03,20,358.67
Z313,АИ-92-К4/К5,4.0,2022-01-03,21,416.5
Z313,АИ-92-К4/К5,4.0,2022-01-03,22,425.96
Z313,АИ-92-К4/К5,4.0,2022-01-03,23,219.96
Z313,АИ-92-К4/К5,4.0,2022-01-03,24,103.35
Z313,АИ-98-К4/К5,5.0,2022-01-03,1,71.0
Z313,АИ-98-К4/К5,5.0,2022-01-03,2,64.35
Z313,АИ-98-К4/К5,5.0,2022-01-03,5,18.45
Z313,АИ-98-К4/К5,5.0,2022-01-03,6,13.05
Z313,АИ-98-К4/К5,5.0,2022-01-03,10,92.16
Z313,АИ-98-К4/К5,5.0,2022-01-03,11,160.78
Z313,АИ-98-К4/К5,5.0,2022-01-03,12,21.74
Z313,АИ-98-К4/К5,5.0,2022-01-03,13,30.0
Z313,АИ-98-К4/К5,5.0,2022-01-03,14,43.48
Z313,АИ-98-К4/К5,5.0,2022-01-03,17,59.28
Z313,АИ-98-К4/К5,5.0,2022-01-03,18,26.09
Z313,АИ-98-К4/К5,5.0,2022-01-03,19,104.13
Z313,АИ-98-К4/К5,5.0,2022-01-03,21,44.28
Z313,АИ-98-К4/К5,5.0,2022-01-03,23,21.09
Z313,АИ-95-К4/К5,1.0,2022-01-04,1,340.63
Z313,АИ-95-К4/К5,1.0,2022-01-04,2,116.95
Z313,АИ-95-К4/К5,1.0,2022-01-04,3,92.13
Z313,АИ-95-К4/К5,1.0,2022-01-04,4,137.35
Z313,АИ-95-К4/К5,1.0,2022-01-04,5,50.52
Z313,АИ-95-К4/К5,1.0,2022-01-04,6,70.43
Z313,АИ-95-К4/К5,1.0,2022-01-04,8,83.1
Z313,АИ-95-К4/К5,1.0,2022-01-04,9,186.48
Z313,АИ-95-К4/К5,1.0,2022-01-04,10,272.78
Z313,АИ-95-К4/К5,1.0,2022-01-04,11,332.14
Z313,АИ-95-К4/К5,1.0,2022-01-04,12,332.39
Z313,АИ-95-К4/К5,1.0,2022-01-04,13,612.74
Z313,АИ-95-К4/К5,1.0,2022-01-04,14,584.56
Z313,АИ-95-К4/К5,1.0,2022-01-04,15,425.43
Z313,АИ-95-К4/К5,1.0,2022-01-04,16,506.62
Z313,АИ-95-К4/К5,1.0,2022-01-04,17,628.4
Z313,АИ-95-К4/К5,1.0,2022-01-04,18,734.88
Z313,АИ-95-К4/К5,1.0,2022-01-04,19,565.48
Z313,АИ-95-К4/К5,1.0,2022-01-04,20,801.75
Z313,АИ-95-К4/К5,1.0,2022-01-04,21,638.4
Z313,АИ-95-К4/К5,1.0,2022-01-04,22,971.6
Z313,АИ-95-К4/К5,1.0,2022-01-04,23,726.11
Z313,АИ-95-К4/К5,1.0,2022-01-04,24,420.24
Z313,АИ-92-К4/К5,2.0,2022-01-04,1,736.15
Z313,АИ-92-К4/К5,2.0,2022-01-04,2,308.91
Z313,АИ-92-К4/К5,2.0,2022-01-04,3,301.84
Z313,АИ-92-К4/К5,2.0,2022-01-04,4,377.21
Z313,АИ-92-К4/К5,2.0,2022-01-04,5,110.64
Z313,АИ-92-К4/К5,2.0,2022-01-04,6,52.78
Z313,АИ-92-К4/К5,2.0,2022-01-04,7,143.18
Z313,АИ-92-К4/К5,2.0,2022-01-04,8,276.46
Z313,АИ-92-К4/К5,2.0,2022-01-04,9,556.69
Z313,АИ-92-К4/К5,2.0,2022-01-04,10,596.56
Z313,АИ-92-К4/К5,2.0,2022-01-04,11,1287.1
Z313,АИ-92-К4/К5,2.0,2022-01-04,12,1641.82
Z313,АИ-92-К4/К5,2.0,2022-01-04,13,1631.36
Z313,АИ-92-К4/К5,2.0,2022-01-04,14,1498.47
Z313,АИ-92-К4/К5,2.0,2022-01-04,15,1924.77
Z313,АИ-92-К4/К5,2.0,2022-01-04,16,2143.52
Z313,АИ-92-К4/К5,2.0,2022-01-04,17,1629.01
Z313,АИ-92-К4/К5,2.0,2022-01-04,18,1667.4
Z313,АИ-92-К4/К5,2.0,2022-01-04,19,1669.77
Z313,АИ-92-К4/К5,2.0,2022-01-04,20,1972.94
Z313,АИ-92-К4/К5,2.0,2022-01-04,21,1205.53
Z313,АИ-92-К4/К5,2.0,2022-01-04,22,1364.33
Z313,АИ-92-К4/К5,2.0,2022-01-04,23,1235.37
Z313,АИ-92-К4/К5,2.0,2022-01-04,24,832.0
Z313,ДТ-К4/К5,3.0,2022-01-04,1,157.96
Z313,ДТ-К4/К5,3.0,2022-01-04,2,293.48
Z313,ДТ-К4/К5,3.0,2022-01-04,7,100.0
Z313,ДТ-К4/К5,3.0,2022-01-04,8,21.74
Z313,ДТ-К4/К5,3.0,2022-01-04,9,235.85
Z313,ДТ-К4/К5,3.0,2022-01-04,10,423.92
Z313,ДТ-К4/К5,3.0,2022-01-04,11,233.44
Z313,ДТ-К4/К5,3.0,2022-01-04,12,489.17
Z313,ДТ-К4/К5,3.0,2022-01-04,13,220.92
Z313,ДТ-К4/К5,3.0,2022-01-04,14,354.51
Z313,ДТ-К4/К5,3.0,2022-01-04,15,354.87
Z313,ДТ-К4/К5,3.0,2022-01-04,16,146.56
Z313,ДТ-К4/К5,3.0,2022-01-04,17,225.0
Z313,ДТ-К4/К5,3.0,2022-01-04,18,348.61
Z313,ДТ-К4/К5,3.0,2022-01-04,19,362.14
Z313,ДТ-К4/К5,3.0,2022-01-04,20,166.52
Z313,АИ-92-К4/К5,4.0,2022-01-04,1,130.58
Z313,АИ-92-К4/К5,4.0,2022-01-04,2,192.32
Z313,АИ-92-К4/К5,4.0,2022-01-04,3,72.22
Z313,АИ-92-К4/К5,4.0,2022-01-04,4,71.12
Z313,АИ-92-К4/К5,4.0,2022-01-04,5,16.56
Z313,АИ-92-К4/К5,4.0,2022-01-04,6,32.78
Z313,АИ-92-К4/К5,4.0,2022-01-04,7,16.67
Z313,АИ-92-К4/К5,4.0,2022-01-04,8,104.15
Z313,АИ-92-К4/К5,4.0,2022-01-04,9,118.4
Z313,АИ-92-К4/К5,4.0,2022-01-04,10,16.67
Z313,АИ-92-К4/К5,4.0,2022-01-04,11,44.44
Z313,АИ-92-К4/К5,4.0,2022-01-04,13,28.31
Z313,АИ-92-К4/К5,4.0,2022-01-04,15,197.79
Z313,АИ-92-К4/К5,4.0,2022-01-04,16,106.03
Z313,АИ-92-К4/К5,4.0,2022-01-04,17,356.14
Z313,АИ-92-К4/К5,4.0,2022-01-04,18,310.74
Z313,АИ-92-К4/К5,4.0,2022-01-04,19,299.65
Z313,АИ-92-К4/К5,4.0,2022-01-04,20,187.62
Z313,АИ-92-К4/К5,4.0,2022-01-04,21,508.68
Z313,АИ-92-К4/К5,4.0,2022-01-04,22,286.4
Z313,АИ-92-К4/К5,4.0,2022-01-04,23,318.39
Z313,АИ-92-К4/К5,4.0,2022-01-04,24,181.86
Z313,АИ-98-К4/К5,5.0,2022-01-04,11,96.51
Z313,АИ-98-К4/К5,5.0,2022-01-04,13,30.62
Z313,АИ-98-К4/К5,5.0,2022-01-04,15,81.03
Z313,АИ-98-К4/К5,5.0,2022-01-04,17,100.86
Z313,АИ-98-К4/К5,5.0,2022-01-04,20,65.23
Z313,АИ-98-К4/К5,5.0,2022-01-04,21,19.35
Z313,АИ-98-К4/К5,5.0,2022-01-04,22,44.55
Z313,АИ-98-К4/К5,5.0,2022-01-04,23,47.97
Z313,АИ-98-К4/К5,5.0,2022-01-04,24,109.43
Z313,АИ-95-К4/К5,1.0,2022-01-05,1,282.58
Z313,АИ-95-К4/К5,1.0,2022-01-05,2,270.15
Z313,АИ-95-К4/К5,1.0,2022-01-05,3,133.05
Z313,АИ-95-К4/К5,1.0,2022-01-05,4,112.16
Z313,АИ-95-К4/К5,1.0,2022-01-05,5,63.39
Z313,АИ-95-К4/К5,1.0,2022-01-05,7,157.22
