АЗС_CODE,ДАТА,HOUR,КОЛИЧЕСТВО
Z313,01.03.22,22,3377.88
Z313,01.03.22,23,3044.68
Z313,01.03.22,24,1002.73
Z313,01.03.23,1,1243.25
Z313,01.03.23,2,527.97
Z313,01.03.23,3,383
Z313,01.03.23,4,183.67
Z313,01.03.23,5,276.58
Z313,01.03.23,6,366.04
Z313,01.03.23,7,699.64
Z313,01.03.23,8,1603.81
Z313,01.03.23,9,2631.9
Z313,01.03.23,10,3810.14
Z313,01.03.23,11,3137.29
Z313,01.03.23,12,3437.03
Z313,01.03.23,13,3649.93
Z313,01.03.23,14,3398.26
Z313,01.03.23,15,878.82
Z313,01.03.23,16,1061.65
Z313,01.03.23,17,2529.63
Z313,01.03.23,18,2967.4
Z313,01.03.23,19,3156.14
Z313,01.03.23,20,3647.71
Z313,01.03.23,21,3470.7
Z313,01.03.23,22,2966.44
Z313,01.03.23,23,3084.24
Z313,01.03.23,24,1881.03
Z313,01.03.24,1,1714.8
Z313,01.03.24,2,1054.92
Z313,01.03.24,3,1496.63
Z313,01.03.24,4,333.2
Z313,01.03.24,5,198.64
Z313,01.03.24,6,343.3
Z313,01.03.24,7,1004.96
Z313,01.03.24,8,2332.09
Z313,01.03.24,9,3291.55
Z313,01.03.24,10,3535.76
Z313,01.03.24,11,3656.12
Z313,01.03.24,12,3438.16
Z313,01.03.24,13,3786.9
Z313,01.03.24,14,3076.45
Z313,01.03.24,15,3429.55
Z313,01.03.24,16,3680.85
Z313,01.03.24,17,4318.2
Z313,01.03.24,18,3351.54
Z313,01.03.24,19,4229.41
Z313,01.03.24,20,3682.63
Z313,01.03.24,21,3291.75
Z313,01.03.24,22,3667.17
Z313,01.03.24,23,3620.24
Z313,01.03.24,24,2360.51
Z313,01.04.22,1,1436.94
Z313,01.04.22,2,664.24
Z313,01.04.22,3,366.93
Z313,01.04.22,4,198.87
Z313,01.04.22,5,114.59
Z313,01.04.22,6,48.67
Z313,01.04.22,7,684.26
Z313,01.04.22,8,1623.21
Z313,01.04.22,9,2733.94
Z313,01.04.22,10,3257.4
Z313,01.04.22,11,2556.74
Z313,01.04.22,12,2507.28
Z313,01.04.22,13,2279.28
Z313,01.04.22,14,3215.02
Z313,01.04.22,15,3080.93
Z313,01.04.22,16,2614.54
Z313,01.04.22,17,2445.34
Z313,01.04.22,18,2905.92
Z313,01.04.22,19,2880.88
Z313,01.04.22,20,3241.42
Z313,01.04.22,21,2773.65
Z313,01.04.22,22,3027.29
Z313,01.04.22,23,2427.11
Z313,01.04.22,24,1625.59
Z313,01.04.23,1,2362.28
Z313,01.04.23,2,1416.55
Z313,01.04.23,3,718.08
Z313,01.04.23,4,432.42
Z313,01.04.23,5,328.34
Z313,01.04.23,6,332.51
Z313,01.04.23,7,436.13
Z313,01.04.23,8,1051.61
Z313,01.04.23,9,1906.96
Z313,01.04.23,10,2919.01
Z313,01.04.23,11,3139.21
Z313,01.04.23,12,3319.31
Z313,01.04.23,13,3470.72
Z313,01.04.23,14,3496.35
Z313,01.04.23,15,2993.52
Z313,01.04.23,16,3691.21
Z313,01.04.23,17,3643.2
Z313,01.04.23,18,3473.35
Z313,01.04.23,19,3398.54
Z313,01.04.23,20,3160.51
Z313,01.04.23,21,2776.11
Z313,01.04.23,22,3195.24
Z313,01.04.23,23,3313.95
Z313,01.04.23,24,2810.05
Z313,01.04.24,1,1867.96
Z313,01.04.24,2,733.72
Z313,01.04.24,3,609.82
Z313,01.04.24,4,264.63
Z313,01.04.24,5,130.38
Z313,01.04.24,6,711.71
Z313,01.04.24,7,825.61
Z313,01.04.24,8,2414.13
Z313,01.04.24,9,2533.51
Z313,01.04.24,10,3157.49
Z313,01.04.24,11,2736.65
Z313,01.04.24,12,2968.26
Z313,01.04.24,13,3475.61
Z313,01.04.24,14,3719.38
Z313,01.04.24,15,3848.82
Z313,01.04.24,16,3330.49
